FILE_NAME,FIELD_NAME,GOLD,EXTRACTED,RESULT,REASON
invoice103.html,total_amount,7399.92 USD,"7,399.92","FP,FN",FAIL_MODEL
invoice106.html,total_amount,109415.50 USD,"109,415.50","FP,FN",FAIL_MODEL
invoice107.html,total_amount,83358.11 USD,"83,358.11","FP,FN",FAIL_MODEL
invoice108.html,total_amount,21833.92 USD,"21,833.92","FP,FN",FAIL_MODEL
invoice116.html,total_amount,13023.97 USD,"13,023.97","FP,FN",FAIL_MODEL
invoice118.html,total_amount,91194.11 USD,"91,194.11","FP,FN",FAIL_MODEL
invoice122.html,total_amount,12343.01 USD,"12,343.01","FP,FN",FAIL_MODEL
invoice124.html,total_amount,29816.12 USD,"29,816.12","FP,FN",FAIL_MODEL
invoice126.html,total_amount,33647.53 USD,"33,647.53","FP,FN",FAIL_MODEL
invoice128.html,total_amount,38816.89 USD,"38,816.89","FP,FN",FAIL_MODEL
invoice129.html,total_amount,36405.77 USD,"36,405.77","FP,FN",FAIL_MODEL
invoice131.html,total_amount,51240.72 USD,"51,240.72","FP,FN",FAIL_MODEL
invoice135.html,total_amount,41753.40 USD,"41,753.40","FP,FN",FAIL_MODEL
invoice136.html,total_amount,39655.76 USD,"39,655.76","FP,FN",FAIL_MODEL
invoice138.html,total_amount,51546.34 USD,"51,546.34","FP,FN",FAIL_MODEL
invoice14.html,total_amount,1127.23 USD,"1,127.23","FP,FN",FAIL_MODEL
invoice141.html,total_amount,7795.67 USD,"7,795.67","FP,FN",FAIL_MODEL
invoice149.html,total_amount,7242.88 USD,"7,242.88","FP,FN",FAIL_MODEL
invoice151.html,total_amount,50521.94 USD,"50,521.94","FP,FN",FAIL_MODEL
invoice159.html,total_amount,50023.69 USD,"50,023.69","FP,FN",FAIL_MODEL
invoice160.html,total_amount,10345.10 USD,"10,345.10","FP,FN",FAIL_MODEL
invoice164.html,total_amount,30868.39 USD,"30,868.39","FP,FN",FAIL_MODEL
invoice165.html,total_amount,85227.91 USD,"85,227.91","FP,FN",FAIL_MODEL
invoice17.html,total_amount,20250.36 USD,"20,250.36","FP,FN",FAIL_MODEL
invoice173.html,total_amount,30996.82 USD,"30,996.82","FP,FN",FAIL_MODEL
invoice174.html,total_amount,17953.06 USD,"17,953.06","FP,FN",FAIL_MODEL
invoice176.html,total_amount,47844.35 USD,"47,844.35","FP,FN",FAIL_MODEL
invoice179.html,total_amount,10910.14 USD,"10,910.14","FP,FN",FAIL_MODEL
invoice18.html,total_amount,24097.84 USD,"24,097.84","FP,FN",FAIL_MODEL
invoice180.html,total_amount,35265.89 USD,"35,265.89","FP,FN",FAIL_MODEL
invoice183.html,total_amount,72177.35 USD,"72,177.35","FP,FN",FAIL_MODEL
invoice187.html,total_amount,42646.90 USD,"42,646.90","FP,FN",FAIL_MODEL
invoice192.html,total_amount,59688.67 USD,"59,688.67","FP,FN",FAIL_MODEL
invoice20.html,total_amount,40203.16 USD,"40,203.16","FP,FN",FAIL_MODEL
